distance,cab_type,hour,demand,price
27,cab,3,1.2,550
4,cab,14,1.0,105
27,auto,15,1.0,295
5,auto,3,1.2,87
26,cab,4,1.2,524
28,auto,3,1.2,366
23,cab,17,1.5,588
15,auto,19,1.5,264
23,cab,19,1.5,591
13,auto,5,1.2,192
1,cab,12,1.0,69
30,bike,21,1.5,395
8,bike,21,1.5,133
29,cab,22,1.2,590
10,auto,14,1.0,132
13,auto,14,1.0,151
23,cab,20,1.5,589
10,auto,3,1.2,147
2,bike,3,1.2,36
5,bike,16,1.0,67
27,cab,6,1.0,455
1,bike,21,1.5,44
29,bike,22,1.2,308
12,bike,12,1.0,107
18,auto,21,1.5,319
26,bike,4,1.2,265
21,bike,2,1.2,216
11,auto,19,1.5,201
24,bike,13,1.0,203
16,auto,21,1.5,295
14,bike,9,1.3,171
10,auto,23,1.2,163
23,cab,9,1.3,521
3,cab,3,1.2,114
13,bike,10,1.3,167
24,bike,6,1.0,217
4,bike,12,1.0,46
2,cab,9,1.3,110
21,cab,7,1.0,355
7,cab,6,1.0,164
26,cab,6,1.0,437
18,cab,18,1.5,481
26,cab,10,1.3,581
23,auto,9,1.3,339
2,auto,5,1.2,59
19,cab,10,1.3,443
6,bike,8,1.3,83
24,auto,11,1.3,349
9,auto,6,1.0,112
15,auto,1,1.2,209
24,bike,3,1.2,245
3,cab,15,1.0,100
21,auto,19,1.5,364
9,cab,2,1.2,228
12,cab,7,1.0,240
29,bike,14,1.0,260
30,bike,9,1.3,340
9,bike,22,1.2,105
22,auto,18,1.5,377
5,bike,16,1.0,65
16,auto,16,1.0,191
27,auto,0,1.2,362
27,auto,22,1.2,370
5,bike,14,1.0,66
16,auto,10,1.3,239
27,auto,19,1.5,444
11,cab,0,1.2,254
25,auto,4,1.2,331
6,auto,19,1.5,133
24,bike,17,1.5,320
6,auto,16,1.0,80
9,bike,16,1.0,101
3,bike,22,1.2,47
27,cab,0,1.2,553
28,auto,9,1.3,409
29,auto,16,1.0,310
16,cab,8,1.3,382
25,bike,0,1.2,261
16,cab,6,1.0,288
27,bike,19,1.5,361
21,bike,7,1.0,191
26,bike,2,1.2,264
20,auto,16,1.0,227
12,cab,3,1.2,273
13,bike,2,1.2,152
16,auto,17,1.5,291
26,bike,8,1.3,299
25,cab,11,1.3,560
13,bike,0,1.2,141
10,auto,19,1.5,200
25,bike,13,1.0,225
28,cab,12,1.0,466
30,auto,15,1.0,340
20,auto,19,1.5,345
27,bike,5,1.2,289
30,auto,11,1.3,429
25,cab,13,1.0,421
7,cab,7,1.0,157
28,bike,10,1.3,324
5,auto,12,1.0,90
21,auto,9,1.3,319
29,cab,12,1.0,486
24,auto,21,1.5,398
4,bike,10,1.3,60
25,auto,18,1.5,422
15,bike,22,1.2,177
18,auto,19,1.5,307
19,auto,14,1.0,224
2,cab,17,1.5,120
4,bike,16,1.0,53
9,cab,23,1.2,221
27,bike,8,1.3,300
20,cab,14,1.0,351
18,bike,5,1.2,196
7,cab,0,1.2,192
5,bike,23,1.2,72
21,cab,17,1.5,548
29,auto,17,1.5,476
21,bike,21,1.5,277
29,auto,6,1.0,320
3,cab,10,1.3,115
29,bike,21,1.5,377
10,auto,20,1.5,194
14,auto,19,1.5,263
7,auto,20,1.5,158
25,cab,1,1.2,504
30,bike,21,1.5,394
4,auto,17,1.5,108
21,cab,5,1.2,443
8,auto,7,1.0,105
11,auto,5,1.2,166
9,auto,17,1.5,184
7,auto,18,1.5,145
11,cab,2,1.2,262
18,auto,6,1.0,213
24,auto,15,1.0,273
17,auto,4,1.2,233
15,bike,11,1.3,172
22,cab,1,1.2,447
6,auto,21,1.5,130
27,auto,19,1.5,444
15,auto,5,1.2,207
6,bike,6,1.0,61
10,cab,7,1.0,194
30,bike,1,1.2,313
18,auto,3,1.2,259
14,bike,3,1.2,159
11,cab,20,1.5,330
25,cab,2,1.2,508
30,cab,6,1.0,493
14,bike,2,1.2,156
1,cab,4,1.2,78
21,cab,11,1.3,483
8,auto,10,1.3,136
9,bike,21,1.5,134
1,cab,22,1.2,74
29,auto,13,1.0,318
10,bike,13,1.0,110
13,bike,17,1.5,189
16,cab,0,1.2,352
3,bike,19,1.5,64
22,bike,23,1.2,235
29,auto,11,1.3,415
2,cab,9,1.3,105
24,cab,9,1.3,528
4,bike,2,1.2,60
11,bike,3,1.2,134
26,bike,1,1.2,275
2,cab,0,1.2,87
2,cab,12,1.0,79
22,auto,18,1.5,366
10,cab,2,1.2,241
19,cab,8,1.3,432
20,bike,14,1.0,185
7,auto,6,1.0,105
11,cab,6,1.0,218
25,bike,22,1.2,255
13,auto,13,1.0,154
24,auto,16,1.0,260
15,bike,9,1.3,188
26,bike,20,1.5,344
12,auto,7,1.0,141
5,bike,0,1.2,78
21,bike,7,1.0,194
30,bike,13,1.0,259
28,cab,23,1.2,568
15,bike,15,1.0,143
11,bike,0,1.2,121
17,cab,16,1.0,296
24,bike,15,1.0,221
20,auto,2,1.2,266
14,bike,19,1.5,197
25,bike,10,1.3,284
10,cab,6,1.0,207
12,auto,17,1.5,228
14,cab,7,1.0,270
12,auto,5,1.2,188
16,bike,3,1.2,184
16,cab,5,1.2,340
4,auto,5,1.2,94
7,cab,22,1.2,193
25,bike,4,1.2,262
1,bike,7,1.0,23
28,auto,6,1.0,312
16,cab,19,1.5,429
22,cab,12,1.0,377
6,auto,14,1.0,84
18,cab,6,1.0,320
6,auto,13,1.0,97
10,bike,10,1.3,121
16,cab,8,1.3,387
12,cab,14,1.0,237
24,bike,18,1.5,318
12,cab,1,1.2,270
18,auto,19,1.5,323
5,bike,5,1.2,72
15,bike,5,1.2,166
24,bike,3,1.2,263
27,auto,18,1.5,460
14,auto,9,1.3,223
10,bike,22,1.2,128
27,cab,8,1.3,583
17,bike,18,1.5,228
27,cab,15,1.0,465
3,cab,21,1.5,133
8,auto,19,1.5,175
12,cab,15,1.0,226
15,bike,8,1.3,184
23,auto,13,1.0,258
24,bike,4,1.2,251
27,cab,7,1.0,452
4,auto,5,1.2,94
19,auto,5,1.2,269
14,cab,15,1.0,253
6,auto,16,1.0,99
18,auto,4,1.2,255
27,bike,6,1.0,243
28,bike,13,1.0,245
29,auto,3,1.2,387
14,cab,14,1.0,267
23,bike,20,1.5,302
14,cab,3,1.2,305
18,auto,13,1.0,214
7,bike,9,1.3,96
22,auto,9,1.3,334
26,bike,9,1.3,287
26,bike,15,1.0,229
22,bike,5,1.2,230
18,auto,19,1.5,308
29,cab,10,1.3,621
8,bike,7,1.0,80
20,auto,22,1.2,268
1,cab,5,1.2,76
6,bike,5,1.2,74
3,cab,5,1.2,110
28,bike,8,1.3,313
9,bike,0,1.2,114
17,bike,6,1.0,150
26,cab,23,1.2,520
8,cab,7,1.0,171
9,bike,23,1.2,101
18,bike,17,1.5,242
4,auto,19,1.5,111
7,bike,2,1.2,93
22,auto,17,1.5,372
28,bike,21,1.5,360
2,bike,21,1.5,47
21,bike,16,1.0,179
15,cab,20,1.5,406
29,auto,20,1.5,479
6,auto,4,1.2,103
14,cab,20,1.5,386
19,bike,18,1.5,267
18,auto,18,1.5,320
5,auto,20,1.5,113
15,cab,19,1.5,410
25,auto,15,1.0,270
7,bike,20,1.5,115
7,bike,9,1.3,100
9,cab,14,1.0,180
17,cab,12,1.0,311
22,auto,10,1.3,330
20,cab,11,1.3,448
27,cab,15,1.0,464
3,cab,10,1.3,115
6,bike,17,1.5,98
27,bike,8,1.3,298
14,bike,17,1.5,195
1,cab,22,1.2,88
15,cab,11,1.3,364
23,cab,8,1.3,506
24,bike,15,1.0,222
25,bike,6,1.0,214
30,auto,6,1.0,335
29,auto,4,1.2,388
28,auto,11,1.3,405
17,auto,20,1.5,295
12,cab,17,1.5,346
29,bike,16,1.0,250
11,cab,16,1.0,218
27,auto,6,1.0,300
16,bike,22,1.2,176
5,cab,14,1.0,129
15,auto,2,1.2,219
25,cab,1,1.2,508
18,cab,2,1.2,383
2,cab,4,1.2,88
8,auto,12,1.0,108
26,cab,18,1.5,652
16,cab,9,1.3,386
17,bike,18,1.5,232
4,bike,18,1.5,70
16,auto,23,1.2,231
27,cab,5,1.2,540
8,auto,8,1.3,153
18,auto,1,1.2,245
9,bike,0,1.2,103
30,bike,18,1.5,383
6,bike,3,1.2,82
25,cab,19,1.5,629
10,bike,18,1.5,154
18,auto,9,1.3,272
30,bike,18,1.5,398
26,bike,5,1.2,283
3,cab,1,1.2,108
25,cab,8,1.3,560
25,auto,7,1.0,286
1,auto,23,1.2,54
3,auto,19,1.5,94
16,auto,19,1.5,292
18,auto,22,1.2,250
29,bike,6,1.0,245
21,bike,10,1.3,248
7,cab,6,1.0,155
24,auto,11,1.3,346
11,bike,17,1.5,152
21,cab,1,1.2,434
11,bike,22,1.2,138
28,auto,5,1.2,364
5,bike,11,1.3,70
4,auto,10,1.3,97
5,bike,0,1.2,74
15,bike,8,1.3,176
10,auto,16,1.0,121
2,auto,19,1.5,76
6,bike,22,1.2,83
8,bike,9,1.3,100
24,auto,11,1.3,346
8,cab,22,1.2,202
27,cab,13,1.0,447
26,auto,20,1.5,436
5,auto,23,1.2,104
26,auto,21,1.5,432
30,auto,1,1.2,386
1,auto,22,1.2,52
30,bike,21,1.5,396
30,bike,8,1.3,333
2,auto,7,1.0,45
17,cab,11,1.3,389
24,auto,13,1.0,267
14,bike,12,1.0,130
12,cab,18,1.5,343
3,cab,1,1.2,114
12,cab,11,1.3,294
25,auto,9,1.3,365
15,bike,8,1.3,186
5,bike,4,1.2,70
16,auto,7,1.0,193
11,bike,12,1.0,111
1,cab,11,1.3,83
20,cab,3,1.2,412
10,auto,2,1.2,158
23,auto,19,1.5,388
3,auto,12,1.0,51
13,auto,14,1.0,158
21,cab,14,1.0,361
22,bike,17,1.5,293
28,auto,17,1.5,465
4,auto,5,1.2,76
4,auto,2,1.2,75
19,bike,20,1.5,265
5,bike,18,1.5,87
22,cab,17,1.5,575
7,auto,2,1.2,121
9,auto,14,1.0,121
21,bike,14,1.0,187
1,bike,10,1.3,42
17,cab,23,1.2,375
28,cab,4,1.2,558
23,bike,18,1.5,305
29,cab,7,1.0,478
6,bike,14,1.0,64
17,cab,9,1.3,388
24,cab,22,1.2,497
1,auto,4,1.2,42
14,auto,9,1.3,224
29,bike,0,1.2,306
15,cab,11,1.3,361
28,auto,0,1.2,364
28,bike,11,1.3,321
16,bike,22,1.2,170
2,bike,4,1.2,40
15,cab,18,1.5,421
14,bike,23,1.2,156
15,cab,20,1.5,422
16,cab,20,1.5,434
3,auto,21,1.5,86
14,cab,19,1.5,389
21,cab,3,1.2,442
14,cab,15,1.0,264
11,auto,8,1.3,177
3,cab,16,1.0,102
12,cab,5,1.2,273
8,auto,20,1.5,156
15,auto,12,1.0,182
26,bike,17,1.5,333
12,cab,2,1.2,269
20,bike,1,1.2,217
16,auto,17,1.5,276
22,auto,4,1.2,298
2,cab,1,1.2,98
8,auto,18,1.5,155
22,bike,10,1.3,258
10,cab,4,1.2,241
11,bike,17,1.5,164
20,cab,19,1.5,532
14,auto,2,1.2,207
14,auto,23,1.2,205
22,auto,4,1.2,305
8,bike,12,1.0,87
17,cab,5,1.2,369
7,bike,23,1.2,87
30,bike,4,1.2,310
1,bike,11,1.3,36
15,bike,17,1.5,216
5,cab,2,1.2,160
11,bike,19,1.5,154
10,bike,4,1.2,124
4,cab,15,1.0,104
21,cab,2,1.2,439
30,cab,14,1.0,502
14,bike,19,1.5,202
15,auto,8,1.3,240
5,cab,13,1.0,124
28,auto,0,1.2,373
17,cab,7,1.0,306
6,auto,18,1.5,143
12,auto,14,1.0,144
20,bike,16,1.0,178
29,cab,13,1.0,488
27,bike,21,1.5,346
5,cab,0,1.2,156
21,bike,18,1.5,291
16,bike,0,1.2,169
30,bike,7,1.0,266
7,cab,6,1.0,155
1,auto,17,1.5,60
13,bike,14,1.0,117
4,bike,6,1.0,45
12,bike,19,1.5,176
11,cab,12,1.0,221
9,bike,0,1.2,120
29,bike,1,1.2,298
16,bike,16,1.0,146
28,auto,4,1.2,371
8,cab,21,1.5,247
5,cab,2,1.2,154
4,auto,5,1.2,80
12,cab,22,1.2,285
26,auto,16,1.0,282
24,bike,7,1.0,204
16,cab,18,1.5,434
19,auto,17,1.5,339
13,bike,13,1.0,123
1,bike,16,1.0,33
13,auto,17,1.5,249
18,bike,1,1.2,202
11,cab,15,1.0,213
2,auto,11,1.3,64
29,cab,4,1.2,586
18,bike,13,1.0,155
10,bike,8,1.3,121
2,cab,16,1.0,79
1,cab,10,1.3,83
25,bike,15,1.0,217
17,cab,6,1.0,308
27,cab,3,1.2,549
17,cab,14,1.0,313
29,auto,16,1.0,313
30,cab,17,1.5,745
9,bike,19,1.5,145
1,cab,1,1.2,76
7,auto,9,1.3,128
2,cab,4,1.2,95
22,bike,18,1.5,293
20,cab,21,1.5,518
25,auto,5,1.2,334
24,cab,12,1.0,412
14,auto,21,1.5,259
19,cab,16,1.0,330
18,auto,6,1.0,200
6,auto,13,1.0,83
18,cab,3,1.2,389
18,auto,18,1.5,315
5,auto,14,1.0,82
27,bike,11,1.3,313
19,bike,22,1.2,214
17,auto,4,1.2,233
10,bike,20,1.5,152
19,bike,10,1.3,225
19,auto,10,1.3,285
9,auto,22,1.2,135
8,bike,2,1.2,95
7,auto,19,1.5,144
16,bike,5,1.2,179
19,bike,17,1.5,253
27,auto,8,1.3,386
14,cab,15,1.0,250
1,bike,12,1.0,20
1,bike,15,1.0,28
4,auto,14,1.0,75
28,auto,11,1.3,402
20,bike,19,1.5,275
7,auto,3,1.2,123
29,auto,11,1.3,409
1,auto,22,1.2,41
22,bike,0,1.2,243
6,bike,6,1.0,68
13,cab,18,1.5,367
18,bike,21,1.5,240
21,auto,21,1.5,363
24,bike,14,1.0,205
11,auto,5,1.2,160
21,cab,19,1.5,546
22,bike,6,1.0,188
12,cab,15,1.0,226
16,bike,9,1.3,200
27,auto,21,1.5,460
27,auto,17,1.5,455
13,cab,4,1.2,301
30,bike,13,1.0,265
26,cab,20,1.5,667
28,cab,20,1.5,708
9,bike,22,1.2,106
27,bike,10,1.3,310
22,bike,11,1.3,251
12,cab,4,1.2,266
4,cab,19,1.5,156
24,cab,18,1.5,607
14,auto,18,1.5,260
12,bike,15,1.0,120
2,cab,0,1.2,99
19,bike,2,1.2,202
15,auto,2,1.2,211
23,auto,18,1.5,386
30,bike,19,1.5,396
28,cab,20,1.5,698
7,auto,23,1.2,118
3,cab,15,1.0,88
20,bike,16,1.0,181
14,bike,22,1.2,152
30,auto,19,1.5,499
14,bike,20,1.5,198
6,bike,4,1.2,74
19,bike,8,1.3,223
5,cab,4,1.2,146
25,bike,22,1.2,264
4,bike,7,1.0,55
21,bike,12,1.0,179
29,bike,12,1.0,256
9,auto,5,1.2,148
29,bike,5,1.2,303
27,auto,4,1.2,356
3,bike,6,1.0,41
23,bike,14,1.0,204
3,bike,1,1.2,49
20,auto,0,1.2,274
14,auto,15,1.0,170
4,cab,21,1.5,169
24,bike,16,1.0,219
9,auto,10,1.3,165
17,auto,12,1.0,205
23,auto,14,1.0,268
9,cab,12,1.0,181
24,cab,2,1.2,496
30,auto,2,1.2,395
4,bike,20,1.5,73
19,auto,2,1.2,271
26,bike,3,1.2,274
14,auto,16,1.0,161
9,bike,2,1.2,118
14,bike,17,1.5,194
19,cab,10,1.3,435
3,bike,17,1.5,63
1,bike,20,1.5,39
8,bike,9,1.3,111
22,cab,23,1.2,459
21,cab,21,1.5,553
10,auto,11,1.3,167
9,cab,12,1.0,183
19,auto,10,1.3,290
25,auto,20,1.5,422
20,bike,18,1.5,261
17,auto,16,1.0,191
1,auto,15,1.0,38
24,bike,15,1.0,216
2,auto,18,1.5,84
29,bike,22,1.2,309
20,cab,4,1.2,423
11,auto,18,1.5,212
6,bike,6,1.0,65
11,auto,16,1.0,150
18,auto,23,1.2,248
12,bike,3,1.2,134
12,bike,10,1.3,160
26,auto,22,1.2,354
30,bike,7,1.0,253
2,bike,6,1.0,32
26,auto,2,1.2,350
5,cab,10,1.3,154
19,auto,22,1.2,260
15,bike,9,1.3,173
9,bike,2,1.2,112
23,bike,8,1.3,265
8,cab,16,1.0,166
8,bike,2,1.2,93
11,cab,19,1.5,317
23,cab,21,1.5,593
8,bike,1,1.2,111
20,bike,8,1.3,238
23,bike,14,1.0,208
25,auto,2,1.2,345
14,bike,13,1.0,125
20,auto,16,1.0,235
30,auto,12,1.0,330
5,cab,16,1.0,124
15,bike,19,1.5,213
4,auto,22,1.2,90
29,bike,16,1.0,246
3,bike,17,1.5,74
3,bike,17,1.5,74
10,bike,14,1.0,101
14,bike,11,1.3,166
20,cab,19,1.5,522
29,cab,1,1.2,579
6,cab,15,1.0,146
15,auto,18,1.5,272
19,auto,19,1.5,329
6,auto,11,1.3,125
29,cab,11,1.3,640
11,auto,5,1.2,162
11,auto,19,1.5,203
16,auto,19,1.5,280
4,auto,23,1.2,84
14,cab,21,1.5,392
10,auto,7,1.0,129
13,cab,1,1.2,302
6,bike,7,1.0,69
6,cab,9,1.3,185
4,auto,4,1.2,88
11,auto,7,1.0,138
1,bike,18,1.5,42
20,bike,21,1.5,269
7,auto,18,1.5,156
20,auto,14,1.0,227
2,auto,14,1.0,43
24,bike,8,1.3,275
18,auto,15,1.0,202
16,auto,1,1.2,233
21,bike,22,1.2,225
